cluster_id,num_comments,top_keywords
0,110,"voice, standard voice, standard, voice mode, mode, avm, advanced, advanced voice, like, just"
1,86,"gpt, image, model, gpt5, instructions, instruction, 4o, worse, output, promising"
2,928,"4o, gpt, model, models, like, plus, just, users, o3, use"
3,69,"gpt, model, openai, 4o, models, users, o3, just, like, gpt 4o"
4,66,"ama, comments, comment, just, like, people, don, questions, response, really"
5,225,"context, window, context window, chatgpt, 32k, gpt, chat, memory, plus, users"
6,76,"chatgpt, like, 4o, just, chat, gpt, want, people, model, don"
7,94,"gpt, 4o, gpt 4o, emotional, model, users, like, just, user, tone"
8,69,"sexual, people, like, just, harmful, content, filter, chatgpt, gpt, answer"
9,180,"ai, people, like, openai, just, safety, don, users, models, friend"
